Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,4.17,4.9325,0.3474678111587983,1.7144492131616598
1,4.1575,4.93125,0.3464606580829757,1.7098712446351934
2,4.1575,4.9325,0.3464606580829757,1.7098712446351934
3,4.155,4.9325,0.3462775393419171,1.705293276108727
4,4.1525,4.93125,0.347101573676681,1.7098712446351934
5,4.165,4.93375,0.3474678111587983,1.7144492131616598
6,4.155,4.93375,0.3462775393419171,1.7098712446351934
7,4.165,4.93375,0.3462775393419171,1.7098712446351934
8,4.1525,4.9325,0.34563662374821175,1.705293276108727
9,4.165,4.9325,0.347101573676681,1.7144492131616598
10,4.1675,4.93125,0.3474678111587983,1.7144492131616598
11,4.1575,4.9325,0.3441716738197425,1.698426323319027
12,4.165,4.9325,0.347101573676681,1.7144492131616598
13,4.1575,4.93125,0.3464606580829757,1.7098712446351934
14,4.155,4.9325,0.34581974248927044,1.705293276108727
15,4.1375,4.93375,0.34481258941344783,1.7030042918454935
16,4.155,4.9325,0.3462775393419171,1.705293276108727
17,4.155,4.93375,0.34398855507868387,1.698426323319027
18,4.1325,4.9325,0.3443547925608012,1.698426323319027
19,4.1475,4.93125,0.34563662374821175,1.7030042918454935
20,4.16,4.93125,0.3485665236051502,1.716738197424893
21,4.1575,4.9325,0.3464606580829757,1.7098712446351934
22,4.155,4.93375,0.3462775393419171,1.7098712446351934
23,4.1625,4.9325,0.3437138769670959,1.6961373390557941
24,4.135,4.9325,0.34453791130185984,1.698426323319027
25,4.1575,4.9325,0.3464606580829757,1.7098712446351934
26,4.155,4.93125,0.34792560801144495,1.7144492131616598
27,4.15,4.93125,0.34581974248927044,1.705293276108727
28,4.16,4.9325,0.34664377682403436,1.7098712446351934
29,4.1625,4.9325,0.3477424892703863,1.7144492131616598
30,4.155,4.93125,0.3462775393419171,1.705293276108727
31,4.1425,4.93125,0.3451788268955651,1.7030042918454935
32,4.1475,4.9325,0.34792560801144495,1.716738197424893
33,4.1575,4.9325,0.3464606580829757,1.7098712446351934
34,4.1575,4.93375,0.3464606580829757,1.7098712446351934
