Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,5.0125,4.9125,0.41787696709585126,2.0509298998569387
1,5.01,4.9125,0.4183347639484979,2.0555078683834047
2,5.01,4.91375,0.4175107296137339,2.0509298998569387
3,5.0125,4.9125,0.41686981402002865,2.0486409155937055
4,5.0025,4.915,0.41787696709585126,2.0555078683834047
5,5.025,4.9125,0.4187925608011445,2.0577968526466384
6,5.0175,4.9125,0.41851788268955653,2.0555078683834047
7,5.015,4.91375,0.4175107296137339,2.0509298998569387
8,5.0075,4.91375,0.4173276108726753,2.0509298998569387
9,5.015,4.9125,0.41787696709585126,2.0509298998569387
10,5.0175,4.91375,0.41787696709585126,2.0555078683834047
11,5.0175,4.9125,0.41815164520743925,2.0555078683834047
12,5.0225,4.91375,0.41851788268955653,2.0555078683834047
13,5.005,4.9125,0.41787696709585126,2.0509298998569387
14,5.005,4.91375,0.4170529327610873,2.0486409155937055
15,5,4.9125,0.41668669527897,2.0486409155937055
16,5.01,4.91375,0.41815164520743925,2.0555078683834047
17,5.0175,4.9125,0.41815164520743925,2.0555078683834047
18,5.0175,4.91125,0.41815164520743925,2.0555078683834047
19,5.02,4.9125,0.4175107296137339,2.0509298998569387
20,5.01,4.9125,0.4175107296137339,2.0509298998569387
21,5.0125,4.91125,0.4176938483547926,2.0509298998569387
22,5.0225,4.9125,0.41815164520743925,2.0555078683834047
23,5.0125,4.9125,0.4176938483547926,2.0509298998569387
24,5.0125,4.91375,0.4176938483547926,2.0509298998569387
25,5.015,4.9125,0.4183347639484979,2.0555078683834047
26,5.0275,4.915,0.4189756795422032,2.0577968526466384
27,5.0225,4.91125,0.41851788268955653,2.0555078683834047
28,5.0225,4.9125,0.4183347639484979,2.0555078683834047
29,5.01,4.91375,0.4175107296137339,2.0509298998569387
30,5.02,4.91375,0.4183347639484979,2.0555078683834047
31,5.0075,4.9125,0.41851788268955653,2.0555078683834047
32,5.015,4.91125,0.4176938483547926,2.0509298998569387
33,5.02,4.9125,0.4183347639484979,2.0555078683834047
34,5.0275,4.91375,0.41815164520743925,2.0555078683834047
35,5.0075,4.9125,0.41787696709585126,2.0509298998569387
36,5.01,4.91375,0.4175107296137339,2.0509298998569387
37,5.015,4.91375,0.41915879828326186,2.0577968526466384
38,5.0125,4.9125,0.41686981402002865,2.0486409155937055
39,5.015,4.91125,0.41787696709585126,2.0509298998569387
40,5.015,4.91125,0.4175107296137339,2.0509298998569387
41,5.02,4.91125,0.41815164520743925,2.0555078683834047
42,5.005,4.91375,0.4170529327610873,2.0486409155937055
43,5.015,4.9125,0.4183347639484979,2.0555078683834047
44,5.0125,4.9125,0.41668669527897,2.0486409155937055
45,5.015,4.9125,0.41787696709585126,2.0509298998569387
46,5.0125,4.91375,0.4176938483547926,2.0509298998569387
47,5.015,4.9125,0.41851788268955653,2.0555078683834047
48,5.025,4.91125,0.4187925608011445,2.0555078683834047
49,5.02,4.91125,0.4183347639484979,2.0555078683834047
50,5.03,4.9125,0.4183347639484979,2.0555078683834047
51,5.0225,4.91125,0.41851788268955653,2.0555078683834047
52,5.015,4.9125,0.41787696709585126,2.0509298998569387
53,5.0125,4.9125,0.41915879828326186,2.0577968526466384
54,5.0075,4.9125,0.4173276108726753,2.0509298998569387
55,5.0225,4.91125,0.41851788268955653,2.0555078683834047
56,5.015,4.9125,0.41815164520743925,2.0555078683834047
57,5.0175,4.9125,0.41815164520743925,2.0555078683834047
58,5.0225,4.91375,0.41851788268955653,2.0555078683834047
59,5.0075,4.91125,0.4189756795422032,2.0577968526466384
60,5.0125,4.91125,0.4176938483547926,2.0509298998569387
61,5.0225,4.9125,0.41851788268955653,2.0555078683834047
62,5.025,4.91125,0.4206237482117311,2.066952789699571
63,5.015,4.9125,0.41787696709585126,2.0509298998569387
64,5.0125,4.91125,0.4176938483547926,2.0509298998569387
65,5.0275,4.9125,0.41650357653791137,2.0486409155937055
66,4.9975,4.9125,0.41650357653791137,2.0486409155937055
67,5.02,4.91375,0.4183347639484979,2.0555078683834047
68,5.0125,4.91125,0.4183347639484979,2.0555078683834047
69,5.0125,4.91125,0.41522174535050077,2.0394849785407727
70,5.0175,4.9125,0.41815164520743925,2.0555078683834047
71,5.015,4.9125,0.4183347639484979,2.0555078683834047
72,5.025,4.9125,0.41650357653791137,2.0486409155937055
73,5.0025,4.91125,0.41686981402002865,2.0486409155937055
74,5.02,4.91125,0.4176938483547926,2.0509298998569387
75,5.005,4.9125,0.41851788268955653,2.0555078683834047
76,5.015,4.91125,0.41787696709585126,2.0509298998569387
77,5.025,4.91125,0.4206237482117311,2.066952789699571
78,5.015,4.91375,0.41558798283261805,2.044062947067239
79,5.035,4.9125,0.4196165951359085,2.0623748211731048
80,5.02,4.91125,0.41668669527897,2.0486409155937055
81,5.0225,4.9125,0.4170529327610873,2.0486409155937055
82,5.0225,4.91125,0.41851788268955653,2.0555078683834047
83,5.025,4.91125,0.4187925608011445,2.0577968526466384
84,5.0175,4.9125,0.42044062947067246,2.066952789699571
85,5.0125,4.9125,0.4176938483547926,2.0509298998569387
86,5.02,4.9125,0.4183347639484979,2.0555078683834047
87,5.01,4.91375,0.4196165951359085,2.0623748211731048
88,5.02,4.9125,0.4183347639484979,2.0555078683834047
89,5.005,4.91375,0.4170529327610873,2.0486409155937055
90,5.0325,4.9125,0.4187925608011445,2.0577968526466384
91,5.04,4.91125,0.41998283261802577,2.0623748211731048
92,5.015,4.91125,0.41787696709585126,2.0509298998569387
93,5.015,4.91375,0.41851788268955653,2.0555078683834047
94,5,4.91125,0.41668669527897,2.0486409155937055
95,5.0075,4.9125,0.4173276108726753,2.0509298998569387
96,5.0125,4.91125,0.4154048640915594,2.0394849785407727
97,5.0525,4.9125,0.4210815450643777,2.069241773962804
98,5.0025,4.91375,0.41686981402002865,2.0486409155937055
99,5.0175,4.91375,0.4196165951359085,2.0623748211731048
100,4.99,4.91125,0.41586266094420604,2.044062947067239
101,5.0125,4.91125,0.4176938483547926,2.0509298998569387
102,5.0175,4.91,0.4196165951359085,2.0577968526466384
103,5.0125,4.9125,0.4176938483547926,2.0509298998569387
104,5.03,4.91125,0.41915879828326186,2.0577968526466384
105,5.02,4.91125,0.42080686695278974,2.066952789699571
106,5.0225,4.91375,0.4189756795422032,2.0577968526466384
107,5.02,4.91375,0.4183347639484979,2.0555078683834047
108,5.0275,4.91125,0.42016595135908447,2.0623748211731048
109,5.015,4.91125,0.4183347639484979,2.0555078683834047
110,5.035,4.91375,0.4196165951359085,2.0623748211731048
111,5.0125,4.9125,0.41668669527897,2.0486409155937055
112,5.01,4.91375,0.4183347639484979,2.0555078683834047
113,5.005,4.9125,0.4170529327610873,2.0486409155937055
114,5.02,4.9125,0.41815164520743925,2.0555078683834047
115,5.0375,4.9125,0.4154048640915594,2.0394849785407727
116,5,4.91125,0.41668669527897,2.0486409155937055
117,5.0225,4.9125,0.41851788268955653,2.0577968526466384
118,5.02,4.91375,0.421447782546495,2.069241773962804
119,5.0325,4.9125,0.4193419170243205,2.0577968526466384
120,5.0225,4.91125,0.41851788268955653,2.0555078683834047
121,5.0125,4.9125,0.41915879828326186,2.0577968526466384
122,5.0275,4.9125,0.4189756795422032,2.0577968526466384
123,5.0125,4.91375,0.4176938483547926,2.0509298998569387
124,5.0125,4.9125,0.41815164520743925,2.0555078683834047
125,5.005,4.91125,0.4170529327610873,2.0486409155937055
126,5.0075,4.9125,0.4173276108726753,2.0509298998569387
127,5.02,4.91125,0.41998283261802577,2.0623748211731048
128,5.05,4.91125,0.42080686695278974,2.066952789699571
129,5.02,4.91125,0.4183347639484979,2.0555078683834047
130,5.02,4.91125,0.41979971387696713,2.0623748211731048
131,4.9925,4.9125,0.4160457796852647,2.044062947067239
132,5.02,4.91125,0.4183347639484979,2.0555078683834047
133,5.0175,4.91375,0.4193419170243205,2.0577968526466384
134,5.0125,4.91125,0.4176938483547926,2.0509298998569387
135,5.0325,4.9125,0.4193419170243205,2.0577968526466384
136,5.015,4.9125,0.4183347639484979,2.0555078683834047
137,5.01,4.91,0.4175107296137339,2.0509298998569387
138,5.04,4.9125,0.41998283261802577,2.0623748211731048
139,5.0125,4.91125,0.4176938483547926,2.0509298998569387
140,5.0275,4.91125,0.41998283261802577,2.0623748211731048
141,4.995,4.91125,0.4162288984263234,2.044062947067239
142,5.005,4.91125,0.4175107296137339,2.0509298998569387
143,5.0225,4.91375,0.4170529327610873,2.0486409155937055
144,5.0175,4.9125,0.41815164520743925,2.0555078683834047
145,5.015,4.91375,0.41998283261802577,2.0623748211731048
146,5.0275,4.91125,0.4189756795422032,2.0577968526466384
147,5.015,4.91125,0.41787696709585126,2.0509298998569387
148,5.015,4.91125,0.4183347639484979,2.0555078683834047
149,5.0175,4.9125,0.41915879828326186,2.0577968526466384
150,5.0125,4.91125,0.4176938483547926,2.0509298998569387
151,5,4.91125,0.4170529327610873,2.0486409155937055
152,5.025,4.91125,0.4189756795422032,2.0577968526466384
153,5.0475,4.91125,0.4206237482117311,2.066952789699571
154,5.01,4.9125,0.4175107296137339,2.0509298998569387
155,5.01,4.90875,0.4187925608011445,2.0555078683834047
156,4.9975,4.91125,0.41650357653791137,2.044062947067239
157,5.0375,4.9125,0.41979971387696713,2.0623748211731048
158,5.0075,4.91125,0.4224549356223176,2.073819742489271
159,4.99,4.91125,0.41586266094420604,2.044062947067239
160,5.0275,4.91125,0.4189756795422032,2.0577968526466384
161,5.025,4.91375,0.4193419170243205,2.0577968526466384
162,5.0475,4.9125,0.4206237482117311,2.066952789699571
163,5.01,4.91125,0.4175107296137339,2.0509298998569387
164,5.015,4.91375,0.4189756795422032,2.0577968526466384
165,5.0025,4.9125,0.41686981402002865,2.0486409155937055
166,5.0325,4.9125,0.4193419170243205,2.0577968526466384
167,5.02,4.91125,0.4183347639484979,2.0555078683834047
168,5.01,4.9125,0.4175107296137339,2.0509298998569387
169,5.005,4.9125,0.4170529327610873,2.0486409155937055
170,5.0125,4.91,0.41915879828326186,2.0577968526466384
171,5.035,4.9125,0.4196165951359085,2.0623748211731048
172,5.0525,4.91125,0.4210815450643777,2.066952789699571
173,5.015,4.91125,0.4189756795422032,2.0577968526466384
174,5.035,4.91375,0.4196165951359085,2.0623748211731048
175,5.02,4.9125,0.4183347639484979,2.0555078683834047
176,5.005,4.91,0.41668669527897,2.0486409155937055
177,5.025,4.91,0.4183347639484979,2.0555078683834047
178,5.035,4.91375,0.4196165951359085,2.0623748211731048
179,5.015,4.9125,0.42016595135908447,2.0623748211731048
180,5.02,4.9125,0.41915879828326186,2.0577968526466384
181,5.0125,4.91125,0.4176938483547926,2.0509298998569387
182,5.0225,4.91125,0.41787696709585126,2.0509298998569387
183,5.0225,4.91125,0.41558798283261805,2.0394849785407727
184,5.015,4.91125,0.41787696709585126,2.0509298998569387
185,5.0025,4.91375,0.4173276108726753,2.0509298998569387
186,5.01,4.91125,0.4160457796852647,2.044062947067239
187,5.005,4.9125,0.4170529327610873,2.0486409155937055
188,5.0175,4.9125,0.4187925608011445,2.0577968526466384
189,5.01,4.91125,0.4173276108726753,2.0509298998569387
190,5.0225,4.91375,0.41851788268955653,2.0555078683834047
191,5.0175,4.91625,0.41815164520743925,2.0555078683834047
192,5.0125,4.91125,0.4173276108726753,2.0509298998569387
193,5.025,4.91125,0.4187925608011445,2.0555078683834047
194,5.0125,4.91125,0.4176938483547926,2.0509298998569387
195,5.015,4.91125,0.4216309012875537,2.069241773962804
196,5.0125,4.91125,0.4176938483547926,2.0509298998569387
197,5.015,4.91125,0.41787696709585126,2.0509298998569387
198,5.0225,4.91125,0.41686981402002865,2.0486409155937055
199,5.0225,4.9125,0.41851788268955653,2.0555078683834047
200,5.015,4.91125,0.41787696709585126,2.0509298998569387
201,5.01,4.91,0.4187925608011445,2.0555078683834047
202,5.0125,4.91125,0.4176938483547926,2.0509298998569387
203,5.0425,4.9125,0.42016595135908447,2.0623748211731048
204,5.0125,4.91125,0.4219055793991417,2.073819742489271
205,5.0125,4.91,0.4176938483547926,2.0509298998569387
206,5.015,4.9125,0.41787696709585126,2.0509298998569387
207,5.01,4.9125,0.41998283261802577,2.0623748211731048
208,5.035,4.91125,0.4196165951359085,2.0623748211731048
209,5.005,4.9125,0.4170529327610873,2.0486409155937055
210,5.015,4.91375,0.4173276108726753,2.0509298998569387
211,5.07,4.91125,0.4224549356223176,2.073819742489271
212,5.025,4.9125,0.4187925608011445,2.0577968526466384
213,5.0225,4.90875,0.4187925608011445,2.0555078683834047
214,5.0175,4.91125,0.42016595135908447,2.0623748211731048
215,5.0375,4.91375,0.41979971387696713,2.0623748211731048
216,5.01,4.91,0.41815164520743925,2.0509298998569387
217,5.0275,4.91125,0.41650357653791137,2.044062947067239
218,5.025,4.91125,0.4187925608011445,2.0555078683834047
219,5.0175,4.9125,0.41787696709585126,2.0509298998569387
220,5.0225,4.91125,0.4187925608011445,2.0555078683834047
221,5.06,4.91125,0.4216309012875537,2.069241773962804
222,5.0175,4.91,0.42044062947067246,2.0623748211731048
223,5.015,4.9125,0.41787696709585126,2.0509298998569387
224,4.985,4.91125,0.4154048640915594,2.0394849785407727
225,5.02,4.91,0.421447782546495,2.069241773962804
226,5.0275,4.91125,0.41851788268955653,2.0555078683834047
227,5.03,4.91125,0.41915879828326186,2.0577968526466384
228,5.01,4.9125,0.4175107296137339,2.0509298998569387
229,5.0225,4.91125,0.41815164520743925,2.0555078683834047
230,5.025,4.91125,0.4187925608011445,2.0555078683834047
231,5.03,4.9125,0.41915879828326186,2.0577968526466384
232,5.0175,4.91125,0.41558798283261805,2.0394849785407727
233,5.025,4.91125,0.4187925608011445,2.0555078683834047
234,5.02,4.91125,0.4183347639484979,2.0555078683834047
235,5.025,4.91125,0.4187925608011445,2.0555078683834047
236,5.01,4.9125,0.4175107296137339,2.0509298998569387
237,5.005,4.91125,0.4170529327610873,2.0486409155937055
238,5.03,4.91125,0.41998283261802577,2.0623748211731048
239,5.0375,4.9125,0.41979971387696713,2.0623748211731048
240,5.02,4.9125,0.4183347639484979,2.0555078683834047
241,5.0125,4.91125,0.41915879828326186,2.0577968526466384
242,5.0475,4.91125,0.4206237482117311,2.066952789699571
243,5.0025,4.91125,0.41686981402002865,2.0486409155937055
244,5.02,4.9125,0.41915879828326186,2.0577968526466384
245,5,4.9125,0.41668669527897,2.0486409155937055
246,5,4.9125,0.41668669527897,2.0486409155937055
247,5.025,4.91,0.4141230329041488,2.032618025751073
248,4.98,4.91,0.41503862660944213,2.0371959942775395
249,5.025,4.9125,0.4187925608011445,2.0577968526466384
250,5.03,4.91,0.4187925608011445,2.0555078683834047
251,5.025,4.91125,0.4210815450643777,2.066952789699571
252,4.995,4.91125,0.4162288984263234,2.044062947067239
253,5.02,4.9125,0.42126466380543637,2.069241773962804
254,5.025,4.9125,0.41915879828326186,2.0577968526466384
255,5.04,4.91375,0.41998283261802577,2.0623748211731048
256,5.02,4.9125,0.4189756795422032,2.0577968526466384
257,5.0225,4.9125,0.42080686695278974,2.066952789699571
258,5.01,4.91125,0.4175107296137339,2.0509298998569387
259,5.015,4.9125,0.4187925608011445,2.0577968526466384
260,5.03,4.9125,0.4187925608011445,2.0577968526466384
