Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,0.67,5.19125,0.055851216022889845,0.288412017167382
1,0.7375,5.205,0.059971387696709594,0.3113018597997139
2,0.67,5.1875,0.055851216022889845,0.288412017167382
3,1.4825,5.14875,0.12351359084406296,0.6386266094420602
4,2.4825,5.08125,0.2147982832618026,1.091845493562232
5,2.5025,5.0975,0.20545922746781117,1.0460658082975682
6,1.955,5.15,0.16288412017167384,0.8400572246065808
7,0.84,5.1925,0.07205722460658083,0.37539341917024327
8,0.845,5.18875,0.0662889842632332,0.34563662374821175
9,0.815,5.19125,0.06793705293276109,0.35250357653791137
10,0.8075,5.19625,0.06253505007153076,0.32732474964234626
11,0.775,5.2025,0.06436623748211731,0.3341917024320458
12,0.8825,5.21,0.07352217453505008,0.38226037195994284
13,0.8,5.19125,0.06354220314735337,0.32961373390557946
14,0.6775,5.21375,0.07498712446351932,0.3891273247496424
15,0.685,5.1975,0.05704148783977111,0.2952789699570816
16,0.6825,5.21625,0.07205722460658083,0.37539341917024327
17,1.8425,5.12625,0.1468612303290415,0.7530758226037197
18,1.64,5.1675,0.13669814020028614,0.7050071530758227
19,1.56,5.15125,0.13001430615164522,0.8217453505007154
20,1.77,5.11875,0.1462203147353362,0.7507868383404865
21,0.7975,5.18125,0.06647210300429185,0.34563662374821175
22,0.7375,5.195,0.06143633762517883,0.3181688125894135
23,0.71,5.20875,0.07581115879828328,0.3937052932761088
24,0.8175,5.21,0.06812017167381974,0.3570815450643777
25,0.7725,5.205,0.06436623748211731,0.3341917024320458
26,0.7625,5.1975,0.07233190271816882,0.37539341917024327
27,0.78,5.19375,0.06500715307582261,0.33648068669527903
28,0.875,5.21,0.07288125894134478,0.3776824034334764
29,1.04,5.19375,0.07315593705293277,0.3776824034334764
30,0.75,5.19,0.06253505007153076,0.32732474964234626
31,0.86,5.215,0.07169098712446352,0.37539341917024327
32,0.6725,5.2075,0.07169098712446352,0.37539341917024327
33,0.725,5.205,0.06042918454935623,0.3158798283261803
34,0.72,5.1875,0.059971387696709594,0.3113018597997139
35,0.8625,5.18125,0.05704148783977111,0.2952789699570816
36,0.8825,5.20625,0.07352217453505008,0.38226037195994284
37,0.73,5.17875,0.06079542203147354,0.3158798283261803
38,0.8425,5.19375,0.060612303290414886,0.3158798283261803
39,0.7425,5.18,0.06189413447782547,0.3181688125894135
40,0.75,5.1825,0.06253505007153076,0.32274678111587984
41,0.7375,5.21,0.07004291845493563,0.3639484978540773
42,0.6725,5.1825,0.05603433476394851,0.288412017167382
43,0.8325,5.2025,0.06940200286123034,0.35937052932761093
44,0.665,5.21125,0.07333905579399143,0.38226037195994284
45,0.7475,5.20375,0.06042918454935623,0.3158798283261803
46,0.8075,5.19625,0.0672961373390558,0.34792560801144495
47,0.8525,5.185,0.059330472103004295,0.30672389127324756
48,0.7,5.21125,0.06793705293276109,0.35250357653791137
49,1.255,5.15125,0.10456080114449214,0.540200286123033
50,2.0675,5.11,0.17268097281831188,0.8812589413447783
51,1.6,5.15375,0.13083834048640916,0.6752503576537912
52,0.805,5.20125,0.06711301859799715,0.34792560801144495
53,0.755,5.19875,0.07370529327610874,0.38226037195994284
54,0.7775,5.195,0.07123319027181689,0.37081545064377686
55,0.775,5.185,0.06454935622317597,0.3341917024320458
56,0.785,5.20125,0.06354220314735337,0.32961373390557946
57,0.7175,5.21,0.06372532188841203,0.3341917024320458
58,0.715,5.185,0.059605150214592284,0.30672389127324756
59,0.8675,5.18375,0.07233190271816882,0.3776824034334764
60,0.6825,5.215,0.07123319027181689,0.37081545064377686
61,0.67,5.18625,0.055851216022889845,0.288412017167382
62,0.85,5.20375,0.07086695278969958,0.36852646638054365
63,0.6725,5.20875,0.07352217453505008,0.38226037195994284
64,0.7,5.20125,0.05832331902718169,0.30443490701001436
65,0.69,5.1825,0.057499284692417746,0.2952789699570816
66,0.875,5.1825,0.05621745350500716,0.2929899856938484
67,0.8525,5.20625,0.07105007153075824,0.37081545064377686
