Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,0.8475,5.18125,0.06107010014306152,0.3158798283261803
1,0.8225,5.20125,0.06857796852646639,0.3570815450643777
2,0.875,5.205,0.07288125894134478,0.3776824034334764
3,0.685,5.21375,0.06912732474964235,0.35937052932761093
4,0.75,5.2075,0.06253505007153076,0.32732474964234626
5,0.7125,5.17875,0.059330472103004295,0.30672389127324756
6,0.7525,5.205,0.06537339055793992,0.3410586552217454
7,0.785,5.18625,0.06537339055793992,0.33648068669527903
8,0.755,5.18125,0.06290128755364807,0.32732474964234626
9,0.73,5.21,0.07919885550786838,0.4120171673819743
10,0.9075,5.20625,0.07562804005722461,0.3937052932761088
11,0.9,5.205,0.07498712446351932,0.3891273247496424
12,0.8725,5.1875,0.06436623748211731,0.3341917024320458
13,0.7925,5.21375,0.06601430615164522,0.34563662374821175
14,0.7025,5.18375,0.05850643776824035,0.30443490701001436
15,0.8875,5.19125,0.056492131616595144,0.2929899856938484
16,0.7075,5.2025,0.07645207439198856,0.3982832618025752
17,0.8675,5.2125,0.07233190271816882,0.3776824034334764
18,0.6925,5.205,0.07333905579399143,0.38226037195994284
19,1.4325,5.14625,0.1301974248927039,0.6706723891273249
20,1.2475,5.1375,0.10391988555078685,0.5333333333333334
21,1.765,5.12125,0.12250643776824036,0.6271816881258943
22,0.8575,5.19875,0.08899570815450644,0.46237482117310447
23,0.84,5.21,0.07004291845493563,0.3639484978540773
24,0.91,5.18125,0.06253505007153076,0.32274678111587984
25,0.9025,5.18125,0.06308440629470673,0.32732474964234626
26,0.75,5.185,0.06253505007153076,0.32274678111587984
27,0.7225,5.20875,0.060246065808297576,0.4005722460658083
28,0.7125,5.21125,0.0683032904148784,0.3570815450643777
29,0.755,5.21,0.06290128755364807,0.32732474964234626
30,0.695,5.1825,0.05795708154506438,0.29985693848354794
31,0.8,5.195,0.056858369098712454,0.2952789699570816
32,0.6975,5.185,0.05814020028612304,0.29985693848354794
33,0.8725,5.205,0.07269814020028613,0.3776824034334764
34,0.6725,5.21125,0.07315593705293277,0.38226037195994284
35,0.86,5.21375,0.07169098712446352,0.37539341917024327
36,0.68,5.19125,0.0566752503576538,0.2929899856938484
37,0.7675,5.20375,0.06482403433476396,0.33648068669527903
38,0.7625,5.19375,0.06354220314735337,0.32961373390557946
39,0.735,5.1975,0.06125321888412018,0.3181688125894135
40,0.735,5.2025,0.07498712446351932,0.3891273247496424
41,0.8825,5.1975,0.07352217453505008,0.38226037195994284
42,0.87,5.19625,0.07251502145922747,0.37539341917024327
43,0.86,5.1875,0.059330472103004295,0.30672389127324756
44,0.7275,5.185,0.060612303290414886,0.3158798283261803
45,0.8475,5.21375,0.07059227467811159,0.36852646638054365
46,0.6925,5.205,0.07727610872675252,0.4005722460658083
47,0.705,5.21375,0.06537339055793992,0.3410586552217454
48,0.6825,5.185,0.056858369098712454,0.2952789699570816
49,0.8025,5.195,0.0566752503576538,0.2952789699570816
50,0.715,5.20125,0.07004291845493563,0.3639484978540773
51,0.7075,5.20375,0.058964234620886985,0.30672389127324756
52,0.715,5.21125,0.07562804005722461,0.3937052932761088
53,0.775,5.2075,0.07233190271816882,0.37539341917024327
54,0.855,5.195,0.07123319027181689,0.37081545064377686
55,0.78,5.20375,0.06308440629470673,0.32961373390557946
56,0.8025,5.20125,0.06747925608011446,0.35250357653791137
57,0.76,5.2025,0.06335908440629472,0.32961373390557946
58,0.6825,5.21125,0.056858369098712454,0.3891273247496424
59,0.76,5.1975,0.06857796852646639,0.3570815450643777
60,0.86,5.2125,0.07169098712446352,0.37539341917024327
61,0.72,5.205,0.059971387696709594,0.3113018597997139
62,0.695,5.2125,0.06711301859799715,0.34792560801144495
63,0.6825,5.19875,0.056858369098712454,0.2952789699570816
64,0.6925,5.18375,0.0576824034334764,0.29985693848354794
65,0.7925,5.19875,0.06271816881258942,0.32732474964234626
66,0.735,5.18625,0.06125321888412018,0.3181688125894135
67,0.79,5.21125,0.06583118741058656,0.3410586552217454
68,0.9175,5.18,0.06775393419170243,0.35250357653791137
69,0.78,5.18375,0.06500715307582261,0.33648068669527903
70,0.7625,5.1825,0.06354220314735337,0.32961373390557946
71,0.865,5.19,0.059330472103004295,0.30672389127324756
72,0.7125,5.19,0.059330472103004295,0.30672389127324756
73,0.6825,5.18625,0.056858369098712454,0.2952789699570816
74,0.7725,5.20125,0.05814020028612304,0.30443490701001436
75,0.7,5.185,0.05832331902718169,0.30443490701001436
76,0.8725,5.2075,0.07269814020028613,0.3776824034334764
77,0.8325,5.18625,0.06601430615164522,0.3410586552217454
78,0.87,5.21375,0.07251502145922747,0.3776824034334764
79,0.71,5.20375,0.05914735336194564,0.30672389127324756
80,0.7175,5.21125,0.06308440629470673,0.32961373390557946
81,0.86,5.185,0.059971387696709594,0.3113018597997139
82,0.865,5.21125,0.07205722460658083,0.37539341917024327
83,1.2725,5.16625,0.11628040057224608,0.5997138769670959
84,0.7825,5.19375,0.07123319027181689,0.37081545064377686
85,0.7725,5.1825,0.06436623748211731,0.3341917024320458
86,0.79,5.20375,0.06308440629470673,0.32961373390557946
87,0.7475,5.21,0.06747925608011446,0.35250357653791137
88,0.8225,5.215,0.06857796852646639,0.3570815450643777
89,0.68,5.2075,0.07169098712446352,0.37539341917024327
90,0.7075,5.21,0.06857796852646639,0.3570815450643777
91,0.665,5.1975,0.05539341917024321,0.288412017167382
92,0.7275,5.21,0.060612303290414886,0.3158798283261803
93,0.8475,5.1875,0.056492131616595144,0.2929899856938484
94,0.845,5.2025,0.07040915593705294,0.36852646638054365
95,0.745,5.20875,0.062077253218884125,0.32274678111587984
96,0.68,5.21375,0.07169098712446352,0.37539341917024327
97,0.7,5.2025,0.05832331902718169,0.30443490701001436
98,0.795,5.2,0.0662889842632332,0.34563662374821175
99,0.86,5.1875,0.06793705293276109,0.35250357653791137
100,0.8675,5.195,0.07233190271816882,0.37539341917024327
101,0.86,5.19375,0.07169098712446352,0.37081545064377686
102,0.7175,5.21125,0.07498712446351932,0.3891273247496424
103,0.825,5.21375,0.06876108726752504,0.35937052932761093
104,0.8325,5.215,0.06940200286123034,0.3639484978540773
105,0.7425,5.19625,0.06683834048640916,0.34792560801144495
106,1.4,5.16625,0.11664663805436339,0.6042918454935623
107,0.87,5.21,0.07251502145922747,0.3776824034334764
108,0.9125,5.17875,0.06601430615164522,0.3410586552217454
109,0.9075,5.1925,0.07562804005722461,0.3937052932761088
110,0.895,5.2075,0.07462088698140201,0.3891273247496424
111,0.9325,5.175,0.06775393419170243,0.34792560801144495
112,0.7375,5.2,0.06857796852646639,0.3570815450643777
113,0.905,5.20875,0.07544492131616595,0.3937052932761088
114,0.9275,5.17875,0.06683834048640916,0.34563662374821175
115,0.8175,5.19125,0.07086695278969958,0.36852646638054365
116,0.8675,5.19375,0.07233190271816882,0.37539341917024327
117,0.8525,5.19375,0.059971387696709594,0.3113018597997139
118,0.82,5.19125,0.05978826895565094,0.3113018597997139
119,0.7175,5.185,0.05978826895565094,0.3113018597997139
120,0.8125,5.1925,0.05621745350500716,0.2929899856938484
121,0.74,5.1975,0.0672961373390558,0.34792560801144495
122,0.8475,5.215,0.07059227467811159,0.36852646638054365
123,0.71,5.2025,0.05914735336194564,0.30672389127324756
124,0.7375,5.2075,0.07837482117310444,0.4097281831187411
125,0.9075,5.2125,0.07562804005722461,0.3937052932761088
126,0.6925,5.205,0.0576824034334764,0.29985693848354794
127,0.68,5.2125,0.07187410586552218,0.37539341917024327
128,0.9475,5.20625,0.07892417739628041,0.4120171673819743
129,0.8925,5.19625,0.07434620886981402,0.3868383404864092
130,0.8625,5.19,0.059330472103004295,0.30672389127324756
131,0.7325,5.1825,0.06107010014306152,0.3158798283261803
132,0.72,5.19,0.059971387696709594,0.3113018597997139
133,0.6875,5.21125,0.07462088698140201,0.3891273247496424
134,0.8375,5.21375,0.06976824034334765,0.3639484978540773
135,0.7625,5.2125,0.06354220314735337,0.32961373390557946
136,0.7375,5.20875,0.06189413447782547,0.32274678111587984
137,0.705,5.18375,0.05878111587982833,0.30443490701001436
138,0.86,5.21375,0.07169098712446352,0.37539341917024327
139,0.6925,5.20625,0.0762689556509299,0.3982832618025752
140,0.7625,5.2125,0.06354220314735337,0.32961373390557946
141,0.68,5.18375,0.0566752503576538,0.2929899856938484
142,0.825,5.19125,0.05621745350500716,0.2929899856938484
143,1.2175,5.1775,0.11206866952789701,0.5814020028612304
144,0.8125,5.18625,0.06775393419170243,0.35250357653791137
145,0.835,5.19375,0.06079542203147354,0.3158798283261803
146,0.8775,5.1875,0.059971387696709594,0.3113018597997139
147,0.7875,5.20875,0.06564806866952791,0.3410586552217454
148,0.7675,5.19375,0.06564806866952791,0.3410586552217454
149,0.6925,5.21375,0.06793705293276109,0.35250357653791137
150,0.6875,5.185,0.05731616595135909,0.2952789699570816
151,0.8375,5.19,0.05621745350500716,0.2929899856938484
152,0.8125,5.195,0.055851216022889845,0.288412017167382
153,0.685,5.185,0.05704148783977111,0.2952789699570816
154,0.7725,5.2,0.06436623748211731,0.3181688125894135
155,0.85,5.18625,0.05704148783977111,0.2952789699570816
156,0.7125,5.18375,0.059330472103004295,0.30672389127324756
157,0.7,5.1825,0.05832331902718169,0.30443490701001436
158,0.765,5.20125,0.07745922746781117,0.4005722460658083
159,0.835,5.19125,0.069585121602289,0.35937052932761093
160,0.8825,5.19875,0.07352217453505008,0.38226037195994284
161,0.8725,5.18625,0.06482403433476396,0.33648068669527903
162,0.7125,5.18875,0.059330472103004295,0.30672389127324756
163,0.675,5.19,0.05621745350500716,0.2929899856938484
164,0.7875,5.2,0.057499284692417746,0.29985693848354794
165,0.7725,5.19125,0.06436623748211731,0.3341917024320458
166,0.8775,5.2125,0.07315593705293277,0.38226037195994284
167,0.6775,5.2125,0.06940200286123034,0.35937052932761093
168,0.7,5.1925,0.05832331902718169,0.30443490701001436
169,0.7825,5.1925,0.06519027181688127,0.33648068669527903
170,0.815,5.1875,0.06189413447782547,0.32274678111587984
171,0.8725,5.21125,0.07269814020028613,0.3776824034334764
172,0.77,5.21125,0.06418311874105866,0.3341917024320458
173,0.7825,5.2075,0.07123319027181689,0.37081545064377686
174,0.745,5.21,0.06747925608011446,0.35250357653791137
175,0.8925,5.20125,0.07434620886981402,0.3868383404864092
176,0.9025,5.1825,0.060246065808297576,0.3113018597997139
177,0.7875,5.2025,0.06189413447782547,0.32274678111587984
178,0.715,5.2025,0.059605150214592284,0.3113018597997139
179,0.675,5.2125,0.07205722460658083,0.37539341917024327
180,0.8075,5.19625,0.056858369098712454,0.2952789699570816
181,0.695,5.18375,0.05795708154506438,0.29985693848354794
182,0.84,5.185,0.056492131616595144,0.2929899856938484
183,0.8225,5.18875,0.06253505007153076,0.32732474964234626
184,0.89,5.20875,0.07416309012875537,0.3868383404864092
185,0.7025,5.205,0.07462088698140201,0.3891273247496424
186,0.7075,5.21375,0.06308440629470673,0.32961373390557946
187,0.71,5.18375,0.05914735336194564,0.30672389127324756
188,0.935,5.2,0.0779170243204578,0.40515021459227474
189,0.875,5.18875,0.06482403433476396,0.33648068669527903
190,0.75,5.1825,0.06253505007153076,0.32274678111587984
191,0.7225,5.19,0.060246065808297576,0.3113018597997139
192,0.73,5.21125,0.07141630901287555,0.37081545064377686
193,0.895,5.2075,0.07462088698140201,0.3891273247496424
194,0.7025,5.20375,0.05850643776824035,0.30443490701001436
195,0.7725,5.2,0.06857796852646639,0.3570815450643777
196,0.6875,5.185,0.05731616595135909,0.2952789699570816
197,0.8375,5.20125,0.06976824034334765,0.3639484978540773
198,0.8425,5.18375,0.06601430615164522,0.3410586552217454
199,0.845,5.2025,0.07040915593705294,0.36852646638054365
200,0.8325,5.215,0.06940200286123034,0.3639484978540773
201,0.68,5.21375,0.07086695278969958,0.37081545064377686
202,0.955,5.21125,0.07956509298998571,0.41659513590844066
203,0.82,5.20625,0.0683032904148784,0.3570815450643777
204,0.8975,5.18,0.06308440629470673,0.32732474964234626
205,0.9075,5.18125,0.07562804005722461,0.3891273247496424
206,0.725,5.18,0.06042918454935623,0.3113018597997139
207,0.8,5.20125,0.06354220314735337,0.32961373390557946
208,0.78,5.2,0.06042918454935623,0.3158798283261803
209,0.7375,5.1875,0.06143633762517883,0.3181688125894135
210,0.865,5.18375,0.05795708154506438,0.29985693848354794
211,0.6725,5.2125,0.07233190271816882,0.3776824034334764
212,0.69,5.2,0.057499284692417746,0.29985693848354794
213,0.6925,5.215,0.06683834048640916,0.34792560801144495
214,0.7725,5.20125,0.06271816881258942,0.32732474964234626
215,0.77,5.18375,0.06418311874105866,0.3341917024320458
216,0.8325,5.19,0.05621745350500716,0.2929899856938484
217,0.68,5.20875,0.07745922746781117,0.40515021459227474
218,0.79,5.18,0.06583118741058656,0.3410586552217454
219,0.72,5.19,0.059971387696709594,0.3113018597997139
220,0.725,5.21125,0.07187410586552218,0.37539341917024327
221,0.9,5.21125,0.07498712446351932,0.3891273247496424
222,0.905,5.20375,0.07544492131616595,0.3937052932761088
223,0.8575,5.18625,0.05704148783977111,0.2952789699570816
224,0.7875,5.195,0.06564806866952791,0.3410586552217454
225,0.8275,5.215,0.0689442060085837,0.35937052932761093
226,0.6775,5.21125,0.07141630901287555,0.37081545064377686
227,0.7675,5.20875,0.064,0.3341917024320458
228,0.725,5.18625,0.06042918454935623,0.3158798283261803
229,0.715,5.21125,0.06253505007153076,0.32732474964234626
