Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,5.0275,4.91,0.4189756795422032,2.0577968526466384
1,5.0375,4.91125,0.41979971387696713,2.066952789699571
2,5.045,4.91125,0.4196165951359085,2.0623748211731048
3,5.045,4.91125,0.42044062947067246,2.066952789699571
4,5.0275,4.91125,0.4189756795422032,2.0577968526466384
5,5.05,4.9125,0.4196165951359085,2.0623748211731048
6,5.03,4.9125,0.41915879828326186,2.0577968526466384
7,5.04,4.9125,0.41998283261802577,2.0623748211731048
8,5.055,4.91125,0.42080686695278974,2.066952789699571
9,5.0325,4.91,0.4193419170243205,2.0577968526466384
10,5.0175,4.9125,0.41815164520743925,2.0555078683834047
11,5.0225,4.91125,0.4196165951359085,2.0623748211731048
12,5.0225,4.91125,0.41851788268955653,2.0555078683834047
13,5.0225,4.91,0.41851788268955653,2.0555078683834047
14,5.035,4.91,0.41979971387696713,2.0623748211731048
15,5.04,4.91125,0.41998283261802577,2.0623748211731048
16,5.02,4.91125,0.4183347639484979,2.0555078683834047
17,5.0175,4.9125,0.42044062947067246,2.066952789699571
18,5.04,4.91125,0.41998283261802577,2.0623748211731048
19,5.045,4.91125,0.42044062947067246,2.066952789699571
20,5.0625,4.91125,0.4196165951359085,2.0623748211731048
21,5.0375,4.91,0.41979971387696713,2.0623748211731048
22,5.045,4.91125,0.42044062947067246,2.066952789699571
23,5.0425,4.9125,0.42016595135908447,2.0623748211731048
24,5.045,4.91,0.42044062947067246,2.0623748211731048
25,5.035,4.91125,0.4196165951359085,2.0623748211731048
26,5.045,4.91125,0.42044062947067246,2.066952789699571
27,5.045,4.91125,0.42016595135908447,2.0623748211731048
28,5.0375,4.91,0.41979971387696713,2.0623748211731048
29,5.0475,4.91125,0.4193419170243205,2.0577968526466384
30,5.045,4.91125,0.4196165951359085,2.0623748211731048
31,5.0475,4.91125,0.4206237482117311,2.066952789699571
32,5.06,4.9125,0.4206237482117311,2.066952789699571
33,5.0325,4.91125,0.42044062947067246,2.066952789699571
34,5.0275,4.91125,0.4189756795422032,2.0577968526466384
35,5.04,4.91125,0.41998283261802577,2.0623748211731048
36,5.03,4.91125,0.41979971387696713,2.0623748211731048
37,5.0475,4.91125,0.4206237482117311,2.066952789699571
38,5.045,4.91,0.41915879828326186,2.0577968526466384
39,5.0325,4.91,0.421447782546495,2.069241773962804
40,5.0475,4.91125,0.4206237482117311,2.066952789699571
41,5.0425,4.91,0.42016595135908447,2.0623748211731048
42,5.0325,4.91125,0.41915879828326186,2.0577968526466384
43,5.045,4.91125,0.42044062947067246,2.066952789699571
44,5.0425,4.91125,0.42016595135908447,2.0623748211731048
45,5.0275,4.91125,0.4206237482117311,2.066952789699571
46,5.0475,4.91125,0.4206237482117311,2.066952789699571
47,5.0475,4.90875,0.4206237482117311,2.066952789699571
48,4.9175,4.91375,0.41998283261802577,2.0623748211731048
49,5.0375,4.91,0.41979971387696713,2.0623748211731048
50,5.0525,4.91125,0.4210815450643777,2.066952789699571
51,5.035,4.91125,0.4196165951359085,2.0623748211731048
