Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,0.8125,5.20625,0.06775393419170243,0.35250357653791137
1,0.79,5.19125,0.07269814020028613,0.3776824034334764
2,0.9125,5.20375,0.07608583690987125,0.3982832618025752
3,0.8425,5.20875,0.07022603719599428,0.36852646638054365
4,0.7625,5.1925,0.07251502145922747,0.37539341917024327
5,0.715,5.2,0.07462088698140201,0.3868383404864092
6,0.9575,5.20875,0.07974821173104436,0.41659513590844066
7,0.93,5.18375,0.06775393419170243,0.35250357653791137
8,0.8475,5.195,0.06537339055793992,0.3410586552217454
9,0.865,5.20375,0.07205722460658083,0.37539341917024327
10,0.965,5.17,0.06372532188841203,0.32961373390557946
11,0.92,5.17625,0.062077253218884125,0.32274678111587984
12,0.9225,5.19625,0.0769098712446352,0.4005722460658083
13,0.975,5.1775,0.06143633762517883,0.3181688125894135
14,0.905,5.17875,0.05978826895565094,0.3113018597997139
15,0.9225,5.1975,0.0769098712446352,0.4005722460658083
16,0.9,5.18,0.06042918454935623,0.3113018597997139
17,0.9,5.18,0.0666552217453505,0.34563662374821175
18,0.895,5.19625,0.07462088698140201,0.3868383404864092
19,0.775,5.19375,0.07169098712446352,0.37081545064377686
20,0.8725,5.18375,0.06537339055793992,0.33648068669527903
21,0.8575,5.2075,0.07141630901287555,0.37081545064377686
22,0.87,5.19125,0.07251502145922747,0.37539341917024327
23,0.77,5.2075,0.07938197424892705,0.4120171673819743
24,0.96,5.205,0.08002288984263234,0.41659513590844066
25,1.775,5.15375,0.14795994277539343,0.7622317596566525
26,1.4425,5.1575,0.11829470672389128,0.6111587982832619
27,1.5925,5.115,0.1326695278969957,0.6798283261802576
28,1.98,5.12375,0.16498998569384837,0.8446351931330472
29,1.7175,5.1325,0.1301974248927039,0.6683834048640916
30,2.2275,5.1225,0.1855908440629471,0.9499284692417741
31,1.8775,5.1375,0.1564749642346209,0.8034334763948499
32,2.3725,5.0975,0.20893848354792563,1.0643776824034337
33,1.9825,5.10125,0.16517310443490701,0.8446351931330472
34,2.225,5.11625,0.18540772532188843,0.9499284692417741
35,0.745,5.20625,0.07974821173104436,0.41659513590844066
36,0.8575,5.19375,0.07141630901287555,0.37081545064377686
37,1.0225,5.195,0.08524177396280401,0.44177396280400577
38,0.8225,5.19375,0.07434620886981402,0.3868383404864092
39,0.8825,5.18625,0.07352217453505008,0.38226037195994284
40,0.7825,5.1925,0.06519027181688127,0.33648068669527903
41,0.88,5.1825,0.06354220314735337,0.32961373390557946
42,0.7825,5.18375,0.06519027181688127,0.33648068669527903
43,0.9125,5.20875,0.07608583690987125,0.3982832618025752
44,0.835,5.18875,0.06940200286123034,0.35937052932761093
45,0.96,5.20875,0.08002288984263234,0.41659513590844066
46,0.81,5.2025,0.06747925608011446,0.35250357653791137
47,0.725,5.2,0.07333905579399143,0.38226037195994284
48,0.7125,5.21125,0.07416309012875537,0.3868383404864092
49,0.8325,5.20875,0.06940200286123034,0.35937052932761093
50,0.8075,5.19125,0.07462088698140201,0.3868383404864092
51,0.9725,5.175,0.06354220314735337,0.32961373390557946
52,0.745,5.1825,0.062077253218884125,0.32274678111587984
53,0.835,5.1875,0.07837482117310444,0.40515021459227474
54,0.97,5.175,0.06454935622317597,0.3341917024320458
55,0.805,5.19,0.06711301859799715,0.34792560801144495
56,0.9125,5.17625,0.061711015736766815,0.3181688125894135
57,0.715,5.20375,0.07434620886981402,0.3868383404864092
58,0.78,5.20125,0.06500715307582261,0.33648068669527903
59,0.785,5.19375,0.07709298998569386,0.4005722460658083
60,0.8175,5.19125,0.07251502145922747,0.37539341917024327
61,0.8725,5.1975,0.07269814020028613,0.3776824034334764
62,0.935,5.1725,0.06042918454935623,0.3113018597997139
63,0.7075,5.20375,0.07645207439198856,0.3982832618025752
64,0.9125,5.20875,0.07608583690987125,0.3982832618025752
65,0.8525,5.185,0.07105007153075824,0.37081545064377686
66,1.015,5.16875,0.069585121602289,0.35937052932761093
67,0.75,5.18625,0.06253505007153076,0.32274678111587984
68,0.8025,5.19875,0.06683834048640916,0.34792560801144495
69,0.845,5.19,0.07416309012875537,0.3868383404864092
70,0.8075,5.1725,0.0672961373390558,0.34792560801144495
71,0.71,5.1825,0.05914735336194564,0.30672389127324756
72,0.745,5.21,0.07059227467811159,0.36852646638054365
73,0.8275,5.20875,0.0689442060085837,0.35937052932761093
74,0.75,5.19875,0.06253505007153076,0.32732474964234626
75,0.7175,5.2075,0.0779170243204578,0.40515021459227474
76,0.91,5.205,0.07581115879828328,0.3937052932761088
77,0.88,5.205,0.07333905579399143,0.38226037195994284
78,0.73,5.2,0.07269814020028613,0.3776824034334764
79,0.9,5.205,0.07498712446351932,0.3891273247496424
80,0.8175,5.20875,0.06812017167381974,0.3570815450643777
81,0.9475,5.17625,0.064,0.32961373390557946
82,0.83,5.2025,0.06912732474964235,0.35937052932761093
83,0.9025,5.195,0.07517024320457798,0.3891273247496424
84,0.7775,5.205,0.07397997138769671,0.3868383404864092
85,0.9025,5.19125,0.07517024320457798,0.3891273247496424
86,0.715,5.19,0.059605150214592284,0.30672389127324756
87,0.8425,5.195,0.0662889842632332,0.34563662374821175
88,0.745,5.1825,0.062077253218884125,0.32274678111587984
89,0.7075,5.17875,0.058964234620886985,0.30443490701001436
90,0.9475,5.175,0.060612303290414886,0.3158798283261803
91,0.8975,5.17625,0.06482403433476396,0.3341917024320458
