Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,0.74,5.1975,0.07333905579399143,0.38226037195994284
1,0.855,5.19375,0.07123319027181689,0.37081545064377686
2,0.895,5.17125,0.07462088698140201,0.3868383404864092
3,0.8325,5.18625,0.05521030042918455,0.2861230329041488
4,0.7175,5.1825,0.05978826895565094,0.3113018597997139
5,0.8025,5.185,0.06683834048640916,0.34563662374821175
6,0.8475,5.18375,0.05603433476394851,0.288412017167382
7,0.755,5.18875,0.06290128755364807,0.32732474964234626
8,0.7075,5.18,0.058964234620886985,0.30443490701001436
9,0.8425,5.18625,0.055851216022889845,0.288412017167382
10,0.675,5.18375,0.05621745350500716,0.2929899856938484
11,0.72,5.1825,0.059971387696709594,0.3113018597997139
12,0.725,5.2025,0.07544492131616595,0.3937052932761088
13,0.8375,5.18375,0.0662889842632332,0.34563662374821175
14,0.8075,5.18625,0.0672961373390558,0.34792560801144495
15,0.71,5.20875,0.07333905579399143,0.38226037195994284
16,0.81,5.18625,0.06912732474964235,0.35937052932761093
17,0.7725,5.17375,0.06436623748211731,0.3341917024320458
18,0.7425,5.21125,0.07205722460658083,0.37539341917024327
19,0.75,5.20125,0.06290128755364807,0.32732474964234626
20,0.6825,5.18,0.056858369098712454,0.2952789699570816
21,0.7625,5.21,0.06583118741058656,0.3410586552217454
22,0.87,5.18,0.05704148783977111,0.2952789699570816
23,0.7375,5.18625,0.06143633762517883,0.3181688125894135
24,0.83,5.18625,0.05566809728183119,0.288412017167382
25,0.8675,5.17875,0.056858369098712454,0.2952789699570816
26,0.86,5.2025,0.07169098712446352,0.37081545064377686
27,0.7925,5.19875,0.06601430615164522,0.32274678111587984
28,0.7375,5.20375,0.0895450643776824,0.4646638054363377
29,0.8825,5.205,0.07352217453505008,0.38226037195994284
30,0.95,5.20125,0.07919885550786838,0.4120171673819743
31,0.8,5.195,0.05978826895565094,0.3113018597997139
32,0.725,5.18875,0.06042918454935623,0.3158798283261803
33,0.725,5.18125,0.06042918454935623,0.3113018597997139
34,0.7275,5.2075,0.064,0.3341917024320458
35,0.6975,5.19875,0.05814020028612304,0.30443490701001436
36,0.6675,5.18625,0.05566809728183119,0.288412017167382
37,0.7725,5.19875,0.05832331902718169,0.30443490701001436
38,0.6825,5.175,0.056858369098712454,0.2929899856938484
39,0.7625,5.1925,0.06354220314735337,0.32961373390557946
40,0.8825,5.17875,0.05704148783977111,0.2952789699570816
41,0.79,5.1925,0.06583118741058656,0.3410586552217454
42,0.76,5.18125,0.06335908440629472,0.32961373390557946
43,0.72,5.20875,0.07233190271816882,0.37539341917024327
44,0.9025,5.2075,0.07517024320457798,0.3891273247496424
45,0.84,5.19375,0.07004291845493563,0.3639484978540773
46,0.905,5.1775,0.059330472103004295,0.30672389127324756
47,0.7125,5.19,0.059330472103004295,0.30672389127324756
48,0.7225,5.18125,0.060246065808297576,0.3113018597997139
49,0.8625,5.19125,0.05621745350500716,0.2929899856938484
50,0.695,5.18,0.05795708154506438,0.29985693848354794
51,0.7725,5.19,0.06436623748211731,0.3341917024320458
52,0.755,5.19,0.06354220314735337,0.32961373390557946
53,0.675,5.2125,0.07040915593705294,0.36852646638054365
54,0.775,5.205,0.06454935622317597,0.33648068669527903
55,0.67,5.21,0.07315593705293277,0.38226037195994284
56,0.75,5.20125,0.059605150214592284,0.3113018597997139
57,0.7625,5.1925,0.06354220314735337,0.32961373390557946
58,0.7675,5.19375,0.07123319027181689,0.37081545064377686
59,0.8225,5.1925,0.06125321888412018,0.3181688125894135
60,0.7225,5.19125,0.060246065808297576,0.3113018597997139
61,0.8625,5.18875,0.06912732474964235,0.35937052932761093
62,0.7975,5.18625,0.06189413447782547,0.32274678111587984
63,0.77,5.21125,0.06418311874105866,0.3341917024320458
64,0.7375,5.2125,0.07105007153075824,0.37081545064377686
65,0.8075,5.19125,0.055851216022889845,0.288412017167382
66,0.705,5.1825,0.05878111587982833,0.30443490701001436
67,0.85,5.18125,0.07086695278969958,0.2952789699570816
68,0.8475,5.18125,0.05850643776824035,0.30443490701001436
69,0.69,5.17875,0.057499284692417746,0.2952789699570816
70,0.8275,5.2,0.0689442060085837,0.35937052932761093
71,0.8275,5.1825,0.059605150214592284,0.30672389127324756
72,0.73,5.1775,0.06079542203147354,0.3158798283261803
73,0.7625,5.2025,0.06354220314735337,0.32961373390557946
74,0.84,5.185,0.0662889842632332,0.34563662374821175
75,0.78,5.1825,0.06500715307582261,0.33648068669527903
76,0.705,5.185,0.05878111587982833,0.30443490701001436
77,0.8175,5.18625,0.06354220314735337,0.32961373390557946
78,0.7975,5.2125,0.06647210300429185,0.34563662374821175
79,0.6825,5.195,0.056858369098712454,0.2952789699570816
80,0.685,5.21125,0.06775393419170243,0.35250357653791137
81,0.8175,5.19125,0.06812017167381974,0.35250357653791137
82,0.78,5.17625,0.06500715307582261,0.33648068669527903
83,0.7075,5.20625,0.07498712446351932,0.3891273247496424
84,0.85,5.19625,0.07086695278969958,0.36852646638054365
85,0.7775,5.18375,0.06482403433476396,0.33648068669527903
86,0.7625,5.20375,0.06436623748211731,0.3341917024320458
87,0.8875,5.20875,0.07397997138769671,0.3868383404864092
88,0.8975,5.20875,0.07480400572246067,0.3891273247496424
89,0.895,5.185,0.0666552217453505,0.34563662374821175
90,0.73,5.1775,0.06079542203147354,0.3158798283261803
91,0.8825,5.2,0.07352217453505008,0.38226037195994284
92,0.855,5.1925,0.05704148783977111,0.2952789699570816
93,0.86,5.18,0.05731616595135909,0.2952789699570816
94,0.84,5.2025,0.07004291845493563,0.3639484978540773
95,0.825,5.18375,0.059971387696709594,0.3113018597997139
96,0.6675,5.2075,0.07205722460658083,0.37539341917024327
97,0.84,5.21375,0.07004291845493563,0.3639484978540773
98,0.695,5.20125,0.06876108726752504,0.3570815450643777
99,0.6925,5.2,0.06976824034334765,0.3639484978540773
100,0.8,5.2125,0.0666552217453505,0.34792560801144495
101,0.7875,5.19625,0.06857796852646639,0.3570815450643777
102,0.8925,5.17625,0.06372532188841203,0.32961373390557946
103,0.7375,5.1775,0.06143633762517883,0.3181688125894135
104,0.8725,5.19875,0.0762689556509299,0.3982832618025752
105,0.7575,5.19375,0.06940200286123034,0.35937052932761093
106,0.7875,5.185,0.06564806866952791,0.3410586552217454
107,0.7325,5.21,0.06107010014306152,0.3776824034334764
108,0.8625,5.18125,0.0566752503576538,0.2929899856938484
109,0.7825,5.1875,0.06519027181688127,0.33648068669527903
110,0.87,5.21,0.07251502145922747,0.3776824034334764
111,0.8775,5.1775,0.05832331902718169,0.30443490701001436
112,0.8425,5.20625,0.07022603719599428,0.3639484978540773
113,0.6675,5.19,0.05566809728183119,0.288412017167382
114,0.765,5.19875,0.05878111587982833,0.30443490701001436
115,1.02,5.18,0.08496709585121603,0.4394849785407726
116,0.8925,5.1925,0.07434620886981402,0.3868383404864092
117,0.7475,5.20875,0.07517024320457798,0.3891273247496424
118,0.885,5.195,0.07370529327610874,0.38226037195994284
119,0.9675,5.18875,0.08066380543633764,0.421173104434907
120,0.8,5.1975,0.06143633762517883,0.3181688125894135
121,0.7975,5.2075,0.06647210300429185,0.34563662374821175
122,0.6925,5.1875,0.0576824034334764,0.29985693848354794
123,0.6725,5.21125,0.07233190271816882,0.3776824034334764
124,0.745,5.20875,0.062077253218884125,0.32274678111587984
125,0.71,5.18125,0.05914735336194564,0.30672389127324756
126,0.825,5.1875,0.05566809728183119,0.288412017167382
127,0.7225,5.18375,0.060246065808297576,0.3113018597997139
128,0.84,5.205,0.07004291845493563,0.3639484978540773
129,0.695,5.21,0.06564806866952791,0.3410586552217454
130,0.6725,5.18125,0.05603433476394851,0.288412017167382
