Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,0.715,5.1825,0.059605150214592284,0.30672389127324756
1,0.8225,5.19875,0.06857796852646639,0.3570815450643777
2,0.7925,5.18875,0.06271816881258942,0.32732474964234626
3,0.865,5.205,0.07205722460658083,0.37539341917024327
4,0.905,5.20625,0.07544492131616595,0.3937052932761088
5,2.27,5.09,0.18293562231759658,0.9293276108726753
6,1.2425,5.13125,0.10355364806866954,0.5333333333333334
7,0.7,5.18125,0.05832331902718169,0.30443490701001436
8,0.6975,5.20875,0.07645207439198856,0.3982832618025752
9,1.3975,5.16375,0.11646351931330473,0.5997138769670959
10,1.4075,5.16875,0.11728755364806868,0.6065808297567954
11,1.6825,5.13,0.13065522174535052,0.6706723891273249
12,2.01,5.1325,0.16746208869814022,0.8583690987124465
13,1.3325,5.15375,0.1110615164520744,0.5745350500715308
14,1.8475,5.14,0.1487839771101574,0.7645207439198857
15,1.735,5.11625,0.1979513590844063,1.0117310443490701
16,0.875,5.1925,0.07288125894134478,0.3776824034334764
17,0.7775,5.20875,0.06940200286123034,0.35937052932761093
18,0.7625,5.20125,0.07462088698140201,0.3868383404864092
19,0.77,5.18125,0.06418311874105866,0.3341917024320458
20,0.72,5.20625,0.07608583690987125,0.3982832618025752
21,0.7425,5.1975,0.06876108726752504,0.3570815450643777
22,0.8725,5.20875,0.07269814020028613,0.3776824034334764
23,0.735,5.20875,0.06354220314735337,0.32961373390557946
24,1.295,5.17125,0.10419456366237483,0.540200286123033
25,0.8125,5.18625,0.06775393419170243,0.35250357653791137
26,0.72,5.21,0.07517024320457798,0.3891273247496424
27,0.7125,5.20625,0.07645207439198856,0.3982832618025752
28,0.835,5.19125,0.069585121602289,0.35937052932761093
29,0.8475,5.19375,0.07059227467811159,0.36852646638054365
30,0.8525,5.18625,0.0566752503576538,0.2929899856938484
31,0.8125,5.1975,0.06775393419170243,0.35250357653791137
