Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,2.9,5.025,0.2416251788268956,1.215450643776824
1,2.9625,5.0275,0.23750500715307585,1.1925608011444921
2,2.875,5.02625,0.245653791130186,1.2337625178826896
3,2.89,5.0225,0.24080114449213164,1.2085836909871246
4,2.8575,5.02375,0.23814592274678115,1.1971387696709586
5,2.895,5.025,0.2393361945636624,1.2040057224606582
6,2.895,5.02375,0.24125894134477827,1.2108726752503578
7,2.9075,5.02625,0.24226609442060087,1.2177396280400574
8,2.935,5.02625,0.240618025751073,1.2085836909871246
9,2.9625,5.02625,0.24684406294706726,1.2406294706723893
10,2.88,5.02375,0.2399771101573677,1.2040057224606582
11,2.87,5.02875,0.23686409155937055,1.1925608011444921
12,2.85,5.0275,0.23750500715307585,1.1925608011444921
13,2.87,5.025,0.23915307582260376,1.1994277539341918
14,2.895,5.025,0.24125894134477827,1.2108726752503578
15,3.79,4.96,0.315788268955651,1.5679542203147354
16,2.9,5.01625,0.2416251788268956,1.2108726752503578
17,2.9275,5.0175,0.2476680972818312,1.2406294706723893
18,2.8825,5.0275,0.24025178826895568,1.2085836909871246
19,2.9075,5.02375,0.24226609442060087,1.2177396280400574
20,2.8775,5.025,0.23851216022889846,1.1994277539341918
21,2.9075,5.025,0.24226609442060087,1.2177396280400574
22,2.89,5.025,0.24080114449213164,1.2108726752503578
23,2.8825,5.025,0.24189985693848357,1.215450643776824
24,2.9625,5.02375,0.24684406294706726,1.2406294706723893
25,2.855,5.02625,0.23787124463519316,1.1971387696709586
26,2.8875,5.025,0.24125894134477827,1.2108726752503578
27,2.91,5.02625,0.24254077253218886,1.2177396280400574
28,2.9025,5.025,0.24189985693848357,1.215450643776824
29,2.91,5.025,0.240618025751073,1.2085836909871246
30,2.8925,5.02625,0.2399771101573677,1.2085836909871246
31,2.88,5.0175,0.2399771101573677,1.2040057224606582
32,2.8925,5.02375,0.24711874105865525,1.2406294706723893
33,2.8925,5.02375,0.24043490701001433,1.2085836909871246
34,2.89,5.025,0.24080114449213164,1.2108726752503578
35,2.9025,5.0225,0.24043490701001433,1.2085836909871246
36,2.885,5.025,0.24144206008583693,1.215450643776824
37,2.8575,5.0275,0.23814592274678115,1.1971387696709586
38,2.8975,5.02625,0.240618025751073,1.2085836909871246
39,2.885,5.0225,0.24537911301859802,1.2337625178826896
40,2.89,5.025,0.24080114449213164,1.2108726752503578
41,2.8975,5.025,0.2399771101573677,1.2085836909871246
42,2.9025,5.025,0.24189985693848357,1.215450643776824
43,2.88,5.025,0.2399771101573677,1.2085836909871246
44,2.8925,5.02625,0.24107582260371963,1.1994277539341918
45,2.89,5.02625,0.24208297567954223,1.215450643776824
46,2.8875,5.0175,0.240618025751073,1.2085836909871246
47,2.8925,5.0225,0.24107582260371963,1.2108726752503578
48,2.8875,5.02625,0.24080114449213164,1.2108726752503578
49,2.88,5.025,0.2399771101573677,1.2085836909871246
50,2.895,5.02625,0.24125894134477827,1.2108726752503578
51,2.8925,5.02625,0.240618025751073,1.2085836909871246
52,2.9025,5.02625,0.24189985693848357,1.215450643776824
53,2.8875,5.0175,0.240618025751073,1.2085836909871246
54,2.905,5.0225,0.2450128755364807,1.2291845493562235
55,2.905,5.02375,0.24208297567954223,1.215450643776824
56,2.895,5.0225,0.24125894134477827,1.2108726752503578
57,2.855,5.02875,0.23787124463519316,1.1971387696709586
58,2.8925,5.025,0.24107582260371963,1.2108726752503578
59,2.8975,5.025,0.24144206008583693,1.215450643776824
60,2.88,5.025,0.24107582260371963,1.2108726752503578
61,2.9,5.01625,0.2416251788268956,1.2108726752503578
62,2.89,5.02375,0.24080114449213164,1.2108726752503578
63,2.905,5.02625,0.23979399141630903,1.2040057224606582
64,2.9075,5.025,0.24226609442060087,1.2177396280400574
65,2.8975,5.025,0.24144206008583693,1.215450643776824
66,2.885,5.02625,0.24043490701001433,1.2085836909871246
67,2.9025,5.025,0.24189985693848357,1.215450643776824
68,2.8875,5.01625,0.240618025751073,1.2085836909871246
69,2.8875,5.02125,0.2476680972818312,1.2452074391988557
70,2.9,5.02375,0.2416251788268956,1.215450643776824
71,2.9,5.025,0.2416251788268956,1.215450643776824
72,2.8875,5.02625,0.24107582260371963,1.2108726752503578
73,2.885,5.025,0.24107582260371963,1.2108726752503578
74,2.88,5.02375,0.2399771101573677,1.2040057224606582
75,2.8825,5.02625,0.23979399141630903,1.2040057224606582
76,2.8825,5.0275,0.2383290414878398,1.1971387696709586
77,3.575,5.01875,0.29793419170243207,1.4969957081545067
78,2.86,5.02625,0.23915307582260376,1.2040057224606582
79,2.8975,5.025,0.24125894134477827,1.2108726752503578
80,2.8975,5.025,0.24144206008583693,1.215450643776824
81,2.895,5.02375,0.24107582260371963,1.2108726752503578
82,2.8925,5.025,0.24290701001430617,1.2177396280400574
83,2.8975,5.0225,0.24144206008583693,1.2108726752503578
84,2.91,5.025,0.24272389127324753,1.2177396280400574
85,2.9125,5.025,0.24272389127324753,1.2177396280400574
86,2.885,5.02375,0.24043490701001433,1.2085836909871246
87,3.4225,4.98625,0.28520743919885555,1.4466380543633763
88,3.8925,4.97875,0.27669241773962805,1.3756795422031474
89,3.5325,4.95125,0.2943633762517883,1.4580829756795424
90,2.875,5.02625,0.23961087267525039,1.2040057224606582
91,2.92,5.025,0.24080114449213164,1.2108726752503578
92,2.8725,5.02625,0.2393361945636624,1.2040057224606582
93,2.91,5.02625,0.24254077253218886,1.2177396280400574
94,2.855,5.0275,0.23878683834048645,1.1994277539341918
95,2.8725,5.02625,0.2393361945636624,1.2040057224606582
96,2.8825,5.02625,0.24025178826895568,1.2085836909871246
97,2.955,5.02625,0.2399771101573677,1.2085836909871246
98,2.9425,5.02625,0.24519599427753935,1.2337625178826896
99,2.895,5.02375,0.24125894134477827,1.2108726752503578
100,2.8975,5.02625,0.24144206008583693,1.215450643776824
101,2.9,5.025,0.2416251788268956,1.215450643776824
102,2.8475,5.0275,0.23732188841201718,1.1925608011444921
