Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,0.9425,5.18625,0.0785579399141631,0.4097281831187411
1,0.7625,5.1875,0.07773390557939915,0.40515021459227474
2,0.89,5.19625,0.07416309012875537,0.3868383404864092
3,0.785,5.16375,0.06537339055793992,0.33648068669527903
4,0.815,5.18875,0.0672961373390558,0.34792560801144495
5,0.7575,5.16625,0.06308440629470673,0.32732474964234626
6,0.8725,5.17625,0.07269814020028613,0.37539341917024327
7,0.94,5.16625,0.06436623748211731,0.3341917024320458
8,0.855,5.175,0.07123319027181689,0.36852646638054365
9,0.9275,5.1925,0.07727610872675252,0.4005722460658083
10,0.9375,5.17375,0.0762689556509299,0.3937052932761088
11,1.0075,5.16125,0.07315593705293277,0.3776824034334764
12,0.8025,5.16625,0.06683834048640916,0.34563662374821175
13,0.7975,5.1875,0.08249499284692419,0.4280400572246066
14,0.8425,5.17875,0.08103004291845495,0.421173104434907
15,0.9,5.18125,0.07498712446351932,0.3891273247496424
16,0.895,5.17,0.06857796852646639,0.3570815450643777
17,0.7475,5.19375,0.07919885550786838,0.4120171673819743
18,0.8075,5.18875,0.0672961373390558,0.34792560801144495
19,0.755,5.195,0.07434620886981402,0.3868383404864092
20,0.8075,5.19,0.08496709585121603,0.44177396280400577
21,0.7725,5.18375,0.06436623748211731,0.3341917024320458
22,0.7625,5.1975,0.07919885550786838,0.4120171673819743
23,0.83,5.1875,0.06812017167381974,0.35250357653791137
24,0.9,5.17375,0.07498712446351932,0.3868383404864092
25,0.8625,5.17375,0.07874105865522175,0.4097281831187411
26,0.95,5.16375,0.07269814020028613,0.37539341917024327
27,0.85,5.1625,0.07086695278969958,0.36852646638054365
28,0.8275,5.19,0.0689442060085837,0.3570815450643777
29,0.8025,5.18875,0.08478397711015738,0.4394849785407726
30,0.9775,5.18875,0.08148783977110158,0.4234620886981402
31,1.4825,5.15,0.12351359084406296,0.6386266094420602
32,1.375,5.14875,0.12754220314735337,0.6569384835479257
33,1.315,5.1675,0.10959656652360517,0.5653791130185981
34,0.89,5.16125,0.07416309012875537,0.38226037195994284
35,0.8075,5.19125,0.08066380543633764,0.421173104434907
36,0.91,5.16375,0.07581115879828328,0.3891273247496424
37,0.8575,5.15875,0.07141630901287555,0.36852646638054365
38,0.7875,5.185,0.07938197424892705,0.4120171673819743
39,1.0475,5.18625,0.08725608011444923,0.4532188841201717
40,0.9,5.1625,0.07498712446351932,0.3868383404864092
41,0.83,5.18125,0.08066380543633764,0.41659513590844066
42,0.885,5.16625,0.07370529327610874,0.38226037195994284
43,0.83,5.16,0.06912732474964235,0.3570815450643777
44,0.8275,5.19,0.07938197424892705,0.4120171673819743
45,0.865,5.195,0.07205722460658083,0.37539341917024327
46,0.7625,5.165,0.06354220314735337,0.32961373390557946
47,0.88,5.17875,0.06271816881258942,0.32732474964234626
48,0.795,5.16625,0.0662889842632332,0.3410586552217454
49,0.935,5.1875,0.0779170243204578,0.40515021459227474
50,0.805,5.18,0.07434620886981402,0.3868383404864092
51,0.93,5.19,0.07745922746781117,0.4005722460658083
52,0.7475,5.17125,0.06226037195994278,0.32274678111587984
53,0.8425,5.18375,0.06519027181688127,0.33648068669527903
54,0.9675,5.16,0.06500715307582261,0.3341917024320458
55,0.8025,5.1725,0.06683834048640916,0.34563662374821175
56,0.8325,5.17875,0.07974821173104436,0.4120171673819743
57,0.985,5.16125,0.07022603719599428,0.3639484978540773
58,0.8375,5.16,0.06976824034334765,0.35937052932761093
59,0.8325,5.19,0.07663519313304722,0.3982832618025752
60,0.795,5.1925,0.07169098712446352,0.37081545064377686
61,0.9675,5.19375,0.08066380543633764,0.421173104434907
