Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,0.7125,5.17625,0.059330472103004295,0.30672389127324756
1,0.8525,5.175,0.06042918454935623,0.3113018597997139
2,0.7425,5.2025,0.06519027181688127,0.33648068669527903
3,0.775,5.1775,0.06454935622317597,0.3341917024320458
4,0.7375,5.18875,0.07040915593705294,0.3639484978540773
5,0.8375,5.18625,0.05878111587982833,0.30443490701001436
6,0.8225,5.1725,0.06857796852646639,0.3570815450643777
7,0.9,5.17125,0.0662889842632332,0.3410586552217454
8,0.825,5.18,0.07251502145922747,0.37539341917024327
9,0.885,5.19875,0.07370529327610874,0.38226037195994284
10,0.76,5.1925,0.07874105865522175,0.4097281831187411
11,1.19,5.165,0.10831473533619458,0.5585121602288985
12,0.805,5.2025,0.06711301859799715,0.34792560801144495
13,0.755,5.20125,0.06290128755364807,0.32732474964234626
14,0.7075,5.1975,0.07205722460658083,0.37539341917024327
15,0.71,5.175,0.05914735336194564,0.30672389127324756
16,0.7725,5.2,0.06436623748211731,0.3341917024320458
17,0.77,5.195,0.06372532188841203,0.32961373390557946
18,0.805,5.18375,0.06711301859799715,0.34792560801144495
19,0.7125,5.1725,0.059330472103004295,0.30672389127324756
20,0.885,5.19,0.06079542203147354,0.3158798283261803
21,1.08,5.1625,0.09000286123032905,0.4646638054363377
22,0.7525,5.17,0.06271816881258942,0.32274678111587984
23,0.8,5.1975,0.069585121602289,0.35937052932761093
24,0.82,5.195,0.0683032904148784,0.3570815450643777
25,0.7675,5.185,0.064,0.32961373390557946
26,0.76,5.195,0.07874105865522175,0.4097281831187411
27,0.8375,5.2025,0.06976824034334765,0.3639484978540773
28,1.3575,5.11125,0.11316738197424894,0.576824034334764
29,0.7875,5.195,0.06290128755364807,0.32732474964234626
30,0.88,5.18875,0.07333905579399143,0.3776824034334764
31,0.7875,5.17875,0.06564806866952791,0.3410586552217454
32,0.7,5.20125,0.07517024320457798,0.3891273247496424
33,0.72,5.17375,0.059971387696709594,0.3113018597997139
34,0.7025,5.17875,0.05850643776824035,0.30443490701001436
35,0.8725,5.1725,0.061711015736766815,0.3181688125894135
36,0.8325,5.17875,0.07123319027181689,0.36852646638054365
37,0.9,5.1875,0.07498712446351932,0.3891273247496424
38,0.85,5.1775,0.06876108726752504,0.3570815450643777
39,0.7575,5.1925,0.07773390557939915,0.40515021459227474
40,0.92,5.1925,0.07663519313304722,0.3982832618025752
41,0.77,5.195,0.08038912732474965,0.41659513590844066
42,1.535,5.14,0.12854935622317598,0.6592274678111589
43,3.3375,5.03875,0.2781573676680973,1.4031473533619458
44,0.8725,5.19375,0.0891788268955651,0.4646638054363377
45,0.845,5.1825,0.05850643776824035,0.30443490701001436
46,0.8075,5.2025,0.0672961373390558,0.34792560801144495
47,0.88,5.1725,0.07333905579399143,0.3113018597997139
48,0.75,5.2,0.06436623748211731,0.3341917024320458
49,0.875,5.19875,0.07288125894134478,0.3776824034334764
50,0.705,5.17625,0.05878111587982833,0.30443490701001436
51,2.1225,5.08375,0.17460371959942778,0.888125894134478
52,1.4175,5.1375,0.11811158798283262,0.6065808297567954
53,1.3975,5.13125,0.11646351931330473,0.5974248927038627
54,0.925,5.17,0.07233190271816882,0.37539341917024327
55,0.92,5.1925,0.07663519313304722,0.3982832618025752
56,0.9125,5.195,0.07608583690987125,0.3937052932761088
57,0.9325,5.16875,0.06564806866952791,0.33648068669527903
58,0.835,5.17625,0.069585121602289,0.35937052932761093
59,0.88,5.19625,0.07333905579399143,0.38226037195994284
60,0.7775,5.18375,0.06793705293276109,0.35250357653791137
61,0.7275,5.1925,0.060612303290414886,0.3158798283261803
