Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,2.9025,5.0125,0.24189985693848357,1.2108726752503578
1,2.945,5.0125,0.24602002861230332,1.2337625178826896
2,3.0025,5.015,0.24373104434907011,1.2223175965665238
3,3.02,5.0125,0.25169670958512164,1.261230329041488
4,2.9225,5.01625,0.2489499284692418,1.249785407725322
5,2.925,5.01375,0.2485836909871245,1.2452074391988557
6,2.9525,5.0125,0.24602002861230332,1.2337625178826896
7,2.93,5.015,0.24418884120171677,1.2268955650929902
8,2.92,5.015,0.2443719599427754,1.2268955650929902
9,2.9275,5.015,0.24391416309012878,1.2223175965665238
10,2.9075,5.01375,0.24226609442060087,1.215450643776824
11,2.9175,5.01375,0.2433648068669528,1.2177396280400574
12,3.0025,5.00625,0.2502317596566524,1.2520743919885553
13,2.9775,5.0125,0.24812589413447786,1.2452074391988557
14,2.955,5.0125,0.2473018597997139,1.2406294706723893
15,2.94,5.01625,0.2450128755364807,1.2291845493562235
16,2.9325,5.015,0.2443719599427754,1.2268955650929902
17,2.9725,5.01,0.24391416309012878,1.2223175965665238
18,3.045,5.0075,0.25371101573676685,1.2703862660944207
19,2.96,5.01375,0.24666094420600862,1.238340486409156
20,3.0175,5.00875,0.25581688125894136,1.2818311874105865
21,3.075,5.005,0.256274678111588,1.2818311874105865
22,2.945,5.01625,0.24537911301859802,1.2291845493562235
23,3.05,5.0025,0.2582889842632332,1.2932761087267526
24,3.0925,5.00375,0.25773962804005723,1.2909871244635194
25,3.1125,5.0025,0.25938769670958517,1.297854077253219
26,3.0825,4.99875,0.25810586552217457,1.2909871244635194
27,3.085,5.005,0.25709871244635196,1.286409155937053
28,3.0725,5.00375,0.256,1.2818311874105865
29,3.1775,4.995,0.25810586552217457,1.2909871244635194
30,2.97,5.00875,0.2572818311874106,1.2909871244635194
31,2.9675,5.01125,0.2473018597997139,1.238340486409156
32,2.98,5.005,0.245653791130186,1.2291845493562235
