Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,2.76,5.03375,0.22898998569384837,1.1513590844062949
1,2.8025,5.03375,0.23356795422031476,1.17653791130186
2,2.7325,5.03625,0.23146208869814022,1.167381974248927
3,2.775,5.03125,0.24080114449213164,1.2108726752503578
4,2.795,5.03625,0.23292703862660946,1.1742489270386267
5,2.8225,5.03625,0.22953934191702435,1.1559370529327613
6,2.7475,5.03625,0.22953934191702435,1.1559370529327613
7,2.8475,5.025,0.23732188841201718,1.1925608011444921
8,2.9125,5.01375,0.22981402002861231,1.1513590844062949
9,2.7575,5.03625,0.22953934191702435,1.1559370529327613
10,2.78,5.0325,0.2316452074391989,1.167381974248927
11,2.8625,5.035,0.22999713876967098,1.1582260371959945
12,2.76,5.03625,0.23750500715307585,1.1971387696709586
13,2.7825,5.0325,0.23191988555078685,1.167381974248927
14,2.7525,5.035,0.22935622317596568,1.1559370529327613
15,2.7925,5.03125,0.23292703862660946,1.1696709585121603
16,2.75,5.03375,0.22917310443490704,1.1559370529327613
17,2.7925,5.03625,0.23274391988555082,1.1742489270386267
18,2.71,5.03625,0.23063805436337628,1.162804005722461
19,2.815,5.02625,0.23457510729613737,1.17653791130186
20,2.8775,5.03,0.23979399141630903,1.2085836909871246
21,2.775,5.035,0.23018025751072962,1.1582260371959945
22,2.785,5.0325,0.23210300429184552,1.167381974248927
23,3.05,5.02875,0.2541688125894135,1.2795422031473536
24,2.78,5.03375,0.23246924177396283,1.1696709585121603
25,2.82,5.035,0.235032904148784,1.1856938483547927
26,2.8075,5.02875,0.23393419170243207,1.17653791130186
27,2.845,5.025,0.2304549356223176,1.1582260371959945
28,2.825,5.03125,0.2353991416309013,1.1856938483547927
29,2.7775,5.03125,0.23146208869814022,1.167381974248927
30,2.8075,5.03375,0.23420886981402006,1.17653791130186
31,2.78,5.0325,0.2316452074391989,1.167381974248927
32,2.73,5.0375,0.22752503576537914,1.1467811158798284
33,2.8125,5.03375,0.23246924177396283,1.1696709585121603
34,2.76,5.03625,0.22999713876967098,1.1582260371959945
35,2.7575,5.035,0.22981402002861231,1.1582260371959945
36,2.9225,5.03625,0.23082117310443492,1.162804005722461
37,2.75,5.03625,0.23750500715307585,1.1971387696709586
38,2.7725,5.025,0.2310042918454936,1.162804005722461
39,2.7925,5.035,0.22981402002861231,1.1582260371959945
40,2.79,5.0325,0.23274391988555082,1.1696709585121603
41,2.7825,5.0325,0.23191988555078685,1.167381974248927
42,2.7525,5.03875,0.2304549356223176,1.162804005722461
43,2.7575,5.03375,0.22898998569384837,1.1513590844062949
44,2.77,5.02875,0.23082117310443492,1.162804005722461
45,2.8375,5.02375,0.2360400572246066,1.1856938483547927
46,2.73,5.035,0.22999713876967098,1.1582260371959945
47,2.8025,5.03375,0.23356795422031476,1.17653791130186
48,2.765,5.0375,0.22917310443490704,1.1559370529327613
49,2.7625,5.03625,0.23146208869814022,1.167381974248927
50,2.79,5.0325,0.23246924177396283,1.1696709585121603
51,2.745,5.035,0.22871530758226039,1.1513590844062949
52,2.8225,5.0375,0.22871530758226039,1.1513590844062949
53,2.91,5.0325,0.24254077253218886,1.2177396280400574
54,2.8,5.03625,0.23329327610872677,1.1742489270386267
55,2.7925,5.03375,0.23274391988555082,1.1696709585121603
56,2.78,5.03375,0.2316452074391989,1.167381974248927
57,2.785,5.0325,0.23210300429184552,1.167381974248927
58,2.7775,5.035,0.23063805436337628,1.162804005722461
59,2.815,5.0325,0.23457510729613737,1.1811158798283263
60,2.89,5.0275,0.24080114449213164,1.2108726752503578
61,2.77,5.035,0.24226609442060087,1.2177396280400574
62,2.7175,5.03375,0.2264263233190272,1.1399141630901288
63,2.795,5.03625,0.23292703862660946,1.1742489270386267
64,2.795,5.0325,0.23210300429184552,1.167381974248927
65,2.785,5.03375,0.23210300429184552,1.1696709585121603
66,2.8,5.03375,0.23329327610872677,1.1742489270386267
67,2.7675,5.03375,0.23292703862660946,1.1742489270386267
68,2.81,5.02,0.23420886981402006,1.17653791130186
69,2.7975,5.03375,0.23311015736766813,1.1742489270386267
70,2.7675,5.035,0.22953934191702435,1.1559370529327613
71,2.7625,5.035,0.23127896995708158,1.167381974248927
72,2.745,5.02875,0.22871530758226039,1.1513590844062949
73,2.7825,5.035,0.23018025751072962,1.1582260371959945
74,2.77,5.03375,0.22999713876967098,1.1582260371959945
75,2.76,5.035,0.22999713876967098,1.1582260371959945
76,2.855,5.0275,0.2304549356223176,1.1582260371959945
77,2.75,5.035,0.23082117310443492,1.162804005722461
78,2.7725,5.03375,0.2310042918454936,1.162804005722461
79,2.795,5.03375,0.2337510729613734,1.17653791130186
80,2.7825,5.03375,0.23191988555078685,1.167381974248927
81,2.69,5.03625,0.22413733905579403,1.128469241773963
82,2.925,5.02625,0.24482975679542204,1.2291845493562235
83,2.7525,5.04125,0.22395422031473536,1.128469241773963
84,2.9625,5.0275,0.24684406294706726,1.2406294706723893
85,2.9625,5.0225,0.24684406294706726,1.2703862660944207
86,2.9325,5.02125,0.24354792560801147,1.2223175965665238
87,2.92,5.02375,0.2433648068669528,1.2223175965665238
88,2.955,5.0225,0.2462947067238913,1.238340486409156
89,2.955,5.02,0.24711874105865525,1.2406294706723893
90,2.9525,5.025,0.24602002861230332,1.238340486409156
